Loading data...
Vocabulary Size: 126197
Train/Dev split: 85710/9523
Writing to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160

2018-11-04T05:09:24.061990: step 1, loss 3.26253, acc 0.5
2018-11-04T08:40:42.222810: step 16693, loss 0.0129981, acc 0.984375
2018-11-04T08:40:42.850827: step 16694, loss 6.09387e-06, acc 1
2018-11-04T08:40:43.483770: step 16695, loss 0.0419462, acc 0.984375
2018-11-04T08:40:44.117799: step 16696, loss 0.0397508, acc 1
2018-11-04T08:40:44.752136: step 16697, loss 2.52402e-05, acc 1
2018-11-04T08:40:45.380485: step 16698, loss 0.0623354, acc 0.9375
2018-11-04T08:40:46.009615: step 16699, loss 0.0250427, acc 1
2018-11-04T08:40:46.633743: step 16700, loss 0.0476607, acc 0.96875

Evaluation:
2018-11-04T08:40:57.795896: step 16700, loss 1.3399, acc 0.81844

Saved model checkpoint to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160/checkpoints/model-16700

2018-11-04T08:41:00.913371: step 16701, loss 0.0678336, acc 0.921875
2018-11-04T08:41:01.559743: step 16702, loss 0.0147407, acc 0.984375
2018-11-04T08:41:02.185195: step 16703, loss 0.00948432, acc 1
2018-11-04T08:41:02.814242: step 16704, loss 0.00767992, acc 1
2018-11-04T08:41:03.443153: step 16705, loss 0.030837, acc 0.984375
2018-11-04T08:41:04.070394: step 16706, loss 0.0369072, acc 0.96875
2018-11-04T08:41:04.724848: step 16707, loss 0.0160675, acc 1
2018-11-04T08:41:05.358126: step 16708, loss 0.00765308, acc 1
2018-11-04T08:41:05.983974: step 16709, loss 0.0403424, acc 0.953125
2018-11-04T08:41:06.610661: step 16710, loss 0.0305138, acc 0.984375
2018-11-04T08:41:07.240950: step 16711, loss 0.0290083, acc 0.96875
2018-11-04T08:41:07.869769: step 16712, loss 0.0147856, acc 1
2018-11-04T08:41:08.502805: step 16713, loss 0.016248, acc 1
2018-11-04T08:41:09.139311: step 16714, loss 0.0544831, acc 0.96875
2018-11-04T08:41:09.767230: step 16715, loss 0.0320445, acc 0.984375
2018-11-04T08:41:10.396141: step 16716, loss 0.055324, acc 0.953125
2018-11-04T08:41:11.024137: step 16717, loss 0.0149901, acc 1
2018-11-04T08:41:11.658957: step 16718, loss 0.0645311, acc 0.953125
2018-11-04T08:41:12.291878: step 16719, loss 0.0218391, acc 0.984375
2018-11-04T08:41:12.964253: step 16720, loss 0.00701736, acc 1
2018-11-04T08:41:13.606441: step 16721, loss 0.020099, acc 1
2018-11-04T08:41:14.244407: step 16722, loss 0.000426008, acc 1
2018-11-04T08:41:14.871045: step 16723, loss 0.0532908, acc 0.96875
2018-11-04T08:41:15.500923: step 16724, loss 0.0228031, acc 0.984375
2018-11-04T08:41:16.131851: step 16725, loss 0.0137868, acc 0.984375
2018-11-04T08:41:16.755897: step 16726, loss 0.0216736, acc 0.984375
2018-11-04T08:41:17.382329: step 16727, loss 0.202609, acc 0.953125
2018-11-04T08:41:18.008366: step 16728, loss 0.0156777, acc 1
2018-11-04T08:41:18.643361: step 16729, loss 0.0240177, acc 0.984375
2018-11-04T08:41:19.277820: step 16730, loss 0.0312562, acc 0.96875
2018-11-04T08:41:19.903582: step 16731, loss 7.53778e-05, acc 1
2018-11-04T08:41:20.534429: step 16732, loss 0.0232095, acc 0.984375
2018-11-04T08:41:21.160136: step 16733, loss 0.0313786, acc 0.984375
2018-11-04T08:41:21.791922: step 16734, loss 0.0378823, acc 0.984375
2018-11-04T08:41:22.422264: step 16735, loss 0.0343701, acc 0.984375
2018-11-04T08:41:23.050691: step 16736, loss 0.0211755, acc 0.984375
2018-11-04T08:41:23.678323: step 16737, loss 0.0229796, acc 1
2018-11-04T08:41:24.312075: step 16738, loss 0.0380233, acc 0.96875
2018-11-04T08:41:24.931426: step 16739, loss 4.30616e-06, acc 1
2018-11-04T08:41:25.555573: step 16740, loss 2.60947e-06, acc 1
2018-11-04T08:41:26.178656: step 16741, loss 0.0309003, acc 0.96875
2018-11-04T08:41:26.807495: step 16742, loss 0.0084255, acc 1
2018-11-04T08:41:27.433755: step 16743, loss 0.00922272, acc 1
2018-11-04T08:41:28.065713: step 16744, loss 0.0412631, acc 0.96875
2018-11-04T08:41:28.694801: step 16745, loss 0.0229567, acc 1
2018-11-04T08:41:29.330435: step 16746, loss 0.0399663, acc 0.984375
2018-11-04T08:41:29.955541: step 16747, loss 0.0305073, acc 0.984375
2018-11-04T08:41:30.586156: step 16748, loss 0.0749529, acc 0.9375
2018-11-04T08:41:31.211327: step 16749, loss 0.0279701, acc 0.984375
2018-11-04T08:41:31.840019: step 16750, loss 0.0101651, acc 1
2018-11-04T08:41:32.471540: step 16751, loss 0.0378563, acc 0.96875
2018-11-04T08:41:33.098501: step 16752, loss 0.0266073, acc 1
2018-11-04T08:41:33.734542: step 16753, loss 0.0226515, acc 0.984375
2018-11-04T08:41:34.360558: step 16754, loss 0.00840924, acc 1
2018-11-04T08:41:34.996612: step 16755, loss 0.0186975, acc 0.984375
2018-11-04T08:41:35.632032: step 16756, loss 0.0295963, acc 0.984375
2018-11-04T08:41:36.263499: step 16757, loss 0.0155949, acc 0.984375
2018-11-04T08:41:36.894893: step 16758, loss 0.122554, acc 0.984375
2018-11-04T08:41:37.533313: step 16759, loss 0.0474599, acc 0.953125
2018-11-04T08:41:38.172919: step 16760, loss 6.53896e-05, acc 1
2018-11-04T08:41:38.808425: step 16761, loss 0.000767084, acc 1
2018-11-04T08:41:39.431661: step 16762, loss 0.0235699, acc 1
2018-11-04T08:41:40.057760: step 16763, loss 0.0453049, acc 0.96875
2018-11-04T08:41:40.688135: step 16764, loss 0.00789148, acc 1
2018-11-04T08:41:41.308515: step 16765, loss 0.00790829, acc 1
2018-11-04T08:41:41.938438: step 16766, loss 0.0146478, acc 0.984375
2018-11-04T08:41:42.567628: step 16767, loss 0.0137198, acc 0.984375
2018-11-04T08:41:43.206244: step 16768, loss 0.027931, acc 1
2018-11-04T08:41:43.855036: step 16769, loss 0.0301579, acc 0.984375
2018-11-04T08:41:44.480853: step 16770, loss 0.0144432, acc 0.984375
2018-11-04T08:41:45.109307: step 16771, loss 0.0385986, acc 0.984375
2018-11-04T08:41:45.736343: step 16772, loss 0.00777796, acc 1
2018-11-04T08:41:46.360622: step 16773, loss 0.00788244, acc 1
2018-11-04T08:41:46.988693: step 16774, loss 0.0241818, acc 0.984375
2018-11-04T08:41:47.625747: step 16775, loss 0.0362404, acc 0.96875
2018-11-04T08:41:48.257232: step 16776, loss 0.0260779, acc 1
2018-11-04T08:41:48.893041: step 16777, loss 8.89186e-05, acc 1
2018-11-04T08:41:49.521015: step 16778, loss 0.00193038, acc 1
2018-11-04T08:41:50.152311: step 16779, loss 0.0441043, acc 0.953125
2018-11-04T08:41:50.782682: step 16780, loss 0.00011821, acc 1
2018-11-04T08:41:51.405624: step 16781, loss 0.0239856, acc 1
2018-11-04T08:41:52.035093: step 16782, loss 0.00082062, acc 1
2018-11-04T08:41:52.670859: step 16783, loss 0.0164852, acc 1
2018-11-04T08:41:53.301378: step 16784, loss 0.154709, acc 0.984375
2018-11-04T08:41:53.936826: step 16785, loss 0.0234892, acc 0.984375
2018-11-04T08:41:54.564109: step 16786, loss 0.0965707, acc 0.9375
2018-11-04T08:41:55.192083: step 16787, loss 0.0160978, acc 1
2018-11-04T08:41:55.822097: step 16788, loss 0.036932, acc 0.96875
2018-11-04T08:41:56.448342: step 16789, loss 0.0272965, acc 0.984375
2018-11-04T08:41:57.075436: step 16790, loss 0.0167057, acc 1
2018-11-04T08:41:57.705745: step 16791, loss 0.0970444, acc 0.953125
2018-11-04T08:41:58.341709: step 16792, loss 0.0366898, acc 0.96875
2018-11-04T08:41:58.972466: step 16793, loss 0.050986, acc 0.953125
2018-11-04T08:41:59.596628: step 16794, loss 0.0154076, acc 0.984375
2018-11-04T08:42:00.226920: step 16795, loss 0.0184155, acc 0.984375
2018-11-04T08:42:00.852421: step 16796, loss 0.0214179, acc 0.984375
2018-11-04T08:42:01.477936: step 16797, loss 0.00847786, acc 1
2018-11-04T08:42:02.107533: step 16798, loss 0.00101809, acc 1
2018-11-04T08:42:02.740044: step 16799, loss 0.0183527, acc 1
2018-11-04T08:42:03.369382: step 16800, loss 0.0111074, acc 1

Evaluation:
2018-11-04T08:42:14.587701: step 16800, loss 1.33787, acc 0.81949

Saved model checkpoint to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160/checkpoints/model-16800

2018-11-04T08:42:17.464320: step 16801, loss 0.113309, acc 0.921875
2018-11-04T08:42:18.090677: step 16802, loss 0.0516295, acc 0.96875
2018-11-04T08:42:18.721106: step 16803, loss 0.053664, acc 0.96875
2018-11-04T08:42:19.356574: step 16804, loss 0.0207606, acc 1
2018-11-04T08:42:19.982531: step 16805, loss 0.0225918, acc 0.984375
2018-11-04T08:42:20.620341: step 16806, loss 0.0405121, acc 0.96875
2018-11-04T08:42:21.251557: step 16807, loss 0.000891612, acc 1
2018-11-04T08:42:21.900508: step 16808, loss 0.00965183, acc 1
2018-11-04T08:42:22.527791: step 16809, loss 0.00121111, acc 1
2018-11-04T08:42:23.158389: step 16810, loss 0.0542343, acc 0.953125
2018-11-04T08:42:23.792199: step 16811, loss 0.0304317, acc 0.984375
2018-11-04T08:42:24.428532: step 16812, loss 0.0223039, acc 0.984375
2018-11-04T08:42:25.072177: step 16813, loss 0.0140955, acc 0.984375
2018-11-04T08:42:25.711040: step 16814, loss 0.023464, acc 0.984375
2018-11-04T08:42:26.340289: step 16815, loss 0.0298423, acc 1
2018-11-04T08:42:26.969992: step 16816, loss 0.0463891, acc 0.96875
2018-11-04T08:42:27.597778: step 16817, loss 0.00845741, acc 1
2018-11-04T08:42:28.223837: step 16818, loss 0.0358431, acc 0.96875
2018-11-04T08:42:28.859653: step 16819, loss 0.018131, acc 0.984375
2018-11-04T08:42:29.497524: step 16820, loss 0.0274347, acc 0.96875
2018-11-04T08:42:30.128537: step 16821, loss 0.00071428, acc 1
2018-11-04T08:42:30.756422: step 16822, loss 0.0579726, acc 0.953125
2018-11-04T08:42:31.389001: step 16823, loss 0.0136589, acc 0.984375
2018-11-04T08:42:32.013097: step 16824, loss 0.0260888, acc 0.984375
2018-11-04T08:42:32.648375: step 16825, loss 0.0398561, acc 0.96875
2018-11-04T08:42:33.272670: step 16826, loss 0.0357157, acc 0.96875
2018-11-04T08:42:33.911548: step 16827, loss 0.0408542, acc 0.953125
2018-11-04T08:42:34.558021: step 16828, loss 0.0441728, acc 0.96875
2018-11-04T08:42:35.191979: step 16829, loss 0.0181535, acc 0.984375
2018-11-04T08:42:35.825319: step 16830, loss 0.0375358, acc 0.96875
2018-11-04T08:42:36.453358: step 16831, loss 0.0407497, acc 0.953125
2018-11-04T08:42:37.073884: step 16832, loss 0.0203095, acc 1
2018-11-04T08:42:37.704415: step 16833, loss 0.0307192, acc 0.984375
2018-11-04T08:42:38.334415: step 16834, loss 0.00854237, acc 1
2018-11-04T08:42:38.971276: step 16835, loss 0.000996271, acc 1
2018-11-04T08:42:39.602603: step 16836, loss 0.0139284, acc 0.984375
2018-11-04T08:42:40.246070: step 16837, loss 0.00552409, acc 1
2018-11-04T08:42:40.870279: step 16838, loss 0.0152849, acc 1
2018-11-04T08:42:41.503580: step 16839, loss 0.00878112, acc 1
2018-11-04T08:42:42.129517: step 16840, loss 0.0135637, acc 0.984375
2018-11-04T08:42:42.762018: step 16841, loss 0.00869312, acc 1
2018-11-04T08:42:43.405447: step 16842, loss 0.0171734, acc 1
2018-11-04T08:42:44.054704: step 16843, loss 0.00432737, acc 1
2018-11-04T08:42:44.710945: step 16844, loss 0.0203276, acc 0.984375
2018-11-04T08:42:45.336364: step 16845, loss 0.0194941, acc 0.984375
2018-11-04T08:42:45.975909: step 16846, loss 0.0688791, acc 0.9375
2018-11-04T08:42:46.607518: step 16847, loss 0.00893141, acc 1
2018-11-04T08:42:47.239335: step 16848, loss 0.0633709, acc 0.953125
2018-11-04T08:42:47.880767: step 16849, loss 0.03077, acc 0.984375
2018-11-04T08:42:48.516761: step 16850, loss 0.0440881, acc 0.96875
2018-11-04T08:42:49.162180: step 16851, loss 0.0489529, acc 0.953125
2018-11-04T08:42:49.804422: step 16852, loss 0.0361172, acc 0.984375
2018-11-04T08:42:50.438703: step 16853, loss 0.0139581, acc 0.984375
2018-11-04T08:42:51.081795: step 16854, loss 0.024553, acc 0.984375
2018-11-04T08:42:51.717600: step 16855, loss 0.00870545, acc 1
2018-11-04T08:42:52.348847: step 16856, loss 0.0308699, acc 0.984375
2018-11-04T08:42:52.989990: step 16857, loss 0.010405, acc 1
2018-11-04T08:42:53.622504: step 16858, loss 0.0236674, acc 0.984375
2018-11-04T08:42:54.261626: step 16859, loss 0.00928151, acc 1
2018-11-04T08:42:54.894832: step 16860, loss 0.0272125, acc 0.984375
2018-11-04T08:42:55.524804: step 16861, loss 0.0086534, acc 1
2018-11-04T08:42:56.157703: step 16862, loss 0.0139428, acc 0.984375
2018-11-04T08:42:56.790312: step 16863, loss 0.0376573, acc 0.96875
2018-11-04T08:42:57.418905: step 16864, loss 0.01379, acc 0.984375
2018-11-04T08:42:58.051516: step 16865, loss 0.0136531, acc 0.984375
2018-11-04T08:42:58.689355: step 16866, loss 0.0172596, acc 1
2018-11-04T08:42:59.327307: step 16867, loss 0.0433559, acc 1
2018-11-04T08:42:59.956699: step 16868, loss 0.00913681, acc 1
2018-11-04T08:43:00.580849: step 16869, loss 0.0134624, acc 0.984375
2018-11-04T08:43:01.212958: step 16870, loss 0.03736, acc 0.96875
2018-11-04T08:43:01.852762: step 16871, loss 0.00859497, acc 1
2018-11-04T08:43:02.487844: step 16872, loss 0.0473897, acc 0.953125
2018-11-04T08:43:03.120573: step 16873, loss 0.044974, acc 0.96875
2018-11-04T08:43:03.750699: step 16874, loss 0.0265361, acc 1
2018-11-04T08:43:04.387400: step 16875, loss 0.0887947, acc 0.9375
2018-11-04T08:43:05.014843: step 16876, loss 0.0134582, acc 0.984375
2018-11-04T08:43:05.643674: step 16877, loss 0.434793, acc 0.953125
2018-11-04T08:43:06.272507: step 16878, loss 0.0449968, acc 0.96875
2018-11-04T08:43:06.907965: step 16879, loss 0.0333589, acc 0.96875
2018-11-04T08:43:07.536934: step 16880, loss 0.00862104, acc 1
2018-11-04T08:43:08.169020: step 16881, loss 0.0682614, acc 0.953125
2018-11-04T08:43:08.804828: step 16882, loss 7.62994e-05, acc 1
2018-11-04T08:43:09.437503: step 16883, loss 0.0220985, acc 0.984375
2018-11-04T08:43:10.074581: step 16884, loss 0.0613591, acc 0.984375
2018-11-04T08:43:10.705635: step 16885, loss 0.021981, acc 0.984375
2018-11-04T08:43:11.334019: step 16886, loss 0.0359814, acc 0.96875
2018-11-04T08:43:11.968269: step 16887, loss 0.0277413, acc 0.984375
2018-11-04T08:43:12.601554: step 16888, loss 0.0225389, acc 0.984375
2018-11-04T08:43:13.235187: step 16889, loss 0.0306465, acc 1
2018-11-04T08:43:13.894300: step 16890, loss 0.0269866, acc 0.96875
2018-11-04T08:43:14.529112: step 16891, loss 0.0385719, acc 0.984375
2018-11-04T08:43:15.163053: step 16892, loss 0.0319002, acc 0.984375
2018-11-04T08:43:15.788514: step 16893, loss 0.0271412, acc 1
2018-11-04T08:43:16.421603: step 16894, loss 0.0242802, acc 0.984375
2018-11-04T08:43:17.053129: step 16895, loss 0.0356347, acc 0.96875
2018-11-04T08:43:17.689699: step 16896, loss 0.0615623, acc 0.984375
2018-11-04T08:43:18.320610: step 16897, loss 0.0219192, acc 0.984375
2018-11-04T08:43:18.948307: step 16898, loss 0.0131564, acc 0.984375
2018-11-04T08:43:19.589836: step 16899, loss 0.000663495, acc 1
2018-11-04T08:43:20.219420: step 16900, loss 0.017177, acc 0.984375

Evaluation:
2018-11-04T08:43:31.475736: step 16900, loss 1.37091, acc 0.81886

Saved model checkpoint to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160/checkpoints/model-16900

2018-11-04T08:43:34.308115: step 16901, loss 0.00953833, acc 1
2018-11-04T08:43:34.936836: step 16902, loss 0.0217863, acc 0.984375
2018-11-04T08:43:35.572998: step 16903, loss 0.020848, acc 0.984375
2018-11-04T08:43:36.206600: step 16904, loss 0.0536163, acc 0.96875
2018-11-04T08:43:36.832251: step 16905, loss 0.0367599, acc 0.96875
2018-11-04T08:43:37.468686: step 16906, loss 0.0186527, acc 1
2018-11-04T08:43:38.103784: step 16907, loss 0.0234402, acc 0.984375
2018-11-04T08:43:38.737062: step 16908, loss 0.0446874, acc 0.96875
2018-11-04T08:43:39.377685: step 16909, loss 0.0367572, acc 0.96875
2018-11-04T08:43:40.004563: step 16910, loss 0.0709648, acc 0.921875
2018-11-04T08:43:40.640697: step 16911, loss 0.0504575, acc 0.984375
2018-11-04T08:43:41.274979: step 16912, loss 0.00897625, acc 1
2018-11-04T08:43:41.900494: step 16913, loss 0.0216053, acc 1
2018-11-04T08:43:42.535438: step 16914, loss 0.0570713, acc 0.953125
2018-11-04T08:43:43.170154: step 16915, loss 0.00916045, acc 1
2018-11-04T08:43:43.798737: step 16916, loss 0.00191929, acc 1
2018-11-04T08:43:44.434558: step 16917, loss 0.0131626, acc 0.984375
2018-11-04T08:43:45.080093: step 16918, loss 0.0613094, acc 0.953125
2018-11-04T08:43:45.715631: step 16919, loss 0.000484009, acc 1
2018-11-04T08:43:46.346996: step 16920, loss 0.0177009, acc 0.984375
2018-11-04T08:43:46.973447: step 16921, loss 0.0891114, acc 0.953125
2018-11-04T08:43:47.614349: step 16922, loss 0.0117619, acc 1
2018-11-04T08:43:48.243711: step 16923, loss 0.0274668, acc 0.984375
2018-11-04T08:43:48.873728: step 16924, loss 0.0192276, acc 1
2018-11-04T08:43:49.505133: step 16925, loss 0.0329041, acc 0.984375
2018-11-04T08:43:50.136045: step 16926, loss 0.0134332, acc 0.984375
2018-11-04T08:43:50.766390: step 16927, loss 0.0445729, acc 0.953125
2018-11-04T08:43:51.399893: step 16928, loss 0.148828, acc 0.953125
2018-11-04T08:43:52.037296: step 16929, loss 0.0072211, acc 1
2018-11-04T08:43:52.671084: step 16930, loss 0.15321, acc 0.96875
2018-11-04T08:43:53.299825: step 16931, loss 0.0512254, acc 0.984375
2018-11-04T08:43:53.930718: step 16932, loss 0.0103263, acc 1
2018-11-04T08:43:54.562441: step 16933, loss 0.0213736, acc 1
2018-11-04T08:43:55.192902: step 16934, loss 0.0317437, acc 0.984375
2018-11-04T08:43:55.834499: step 16935, loss 0.00644336, acc 1
2018-11-04T08:43:56.466413: step 16936, loss 0.0180482, acc 1
2018-11-04T08:43:57.090419: step 16937, loss 0.000122189, acc 1
2018-11-04T08:43:57.718710: step 16938, loss 0.013254, acc 0.984375
2018-11-04T08:43:58.352356: step 16939, loss 0.0432351, acc 0.96875
2018-11-04T08:43:58.980348: step 16940, loss 0.0183299, acc 1
2018-11-04T08:43:59.613460: step 16941, loss 0.0266293, acc 0.984375
2018-11-04T08:44:00.240606: step 16942, loss 0.0146274, acc 0.984375
2018-11-04T08:44:00.873437: step 16943, loss 0.0167045, acc 1
2018-11-04T08:44:01.508033: step 16944, loss 0.0356393, acc 0.96875
2018-11-04T08:44:02.138358: step 16945, loss 0.00902285, acc 1
2018-11-04T08:44:02.790506: step 16946, loss 0.0395518, acc 0.984375
2018-11-04T08:44:03.421274: step 16947, loss 0.132764, acc 0.9375
2018-11-04T08:44:04.059294: step 16948, loss 0.00928307, acc 1
2018-11-04T08:44:04.685792: step 16949, loss 0.0700501, acc 0.96875
2018-11-04T08:44:05.310489: step 16950, loss 0.0119154, acc 1
2018-11-04T08:44:05.944754: step 16951, loss 0.0418244, acc 0.953125
2018-11-04T08:44:06.582846: step 16952, loss 0.025658, acc 0.984375
2018-11-04T08:44:07.204976: step 16953, loss 0.0105062, acc 1
2018-11-04T08:44:07.835620: step 16954, loss 0.0285164, acc 0.984375
2018-11-04T08:44:08.464999: step 16955, loss 0.0279066, acc 1
2018-11-04T08:44:09.105439: step 16956, loss 0.0504339, acc 0.953125
2018-11-04T08:44:09.737297: step 16957, loss 0.00865201, acc 1
2018-11-04T08:44:10.365143: step 16958, loss 0.0477172, acc 0.96875
2018-11-04T08:44:11.008252: step 16959, loss 0.0265835, acc 1
2018-11-04T08:44:11.644921: step 16960, loss 0.0157287, acc 0.984375
2018-11-04T08:44:12.270464: step 16961, loss 0.0124081, acc 1
2018-11-04T08:44:12.902488: step 16962, loss 0.0378234, acc 0.96875
2018-11-04T08:44:13.536909: step 16963, loss 0.022051, acc 0.984375
2018-11-04T08:44:14.175185: step 16964, loss 0.0258964, acc 0.984375
2018-11-04T08:44:14.832362: step 16965, loss 0.017269, acc 1
2018-11-04T08:44:15.475664: step 16966, loss 0.0438611, acc 0.96875
2018-11-04T08:44:16.115041: step 16967, loss 0.0175635, acc 0.984375
2018-11-04T08:44:16.743995: step 16968, loss 0.0219078, acc 0.984375
2018-11-04T08:44:17.368715: step 16969, loss 0.000248325, acc 1
2018-11-04T08:44:18.003828: step 16970, loss 0.203217, acc 0.96875
2018-11-04T08:44:18.640123: step 16971, loss 0.0186937, acc 1
2018-11-04T08:44:19.271053: step 16972, loss 0.00860075, acc 1
2018-11-04T08:44:19.911914: step 16973, loss 0.0333863, acc 0.984375
2018-11-04T08:44:20.546463: step 16974, loss 0.012758, acc 0.984375
2018-11-04T08:44:21.182949: step 16975, loss 0.0359639, acc 0.96875
2018-11-04T08:44:21.817777: step 16976, loss 0.0262444, acc 0.96875
2018-11-04T08:44:22.441914: step 16977, loss 0.193882, acc 0.96875
2018-11-04T08:44:23.078578: step 16978, loss 0.0359105, acc 0.96875
2018-11-04T08:44:23.708873: step 16979, loss 0.00908258, acc 1
2018-11-04T08:44:24.335217: step 16980, loss 0.0210336, acc 0.984375
2018-11-04T08:44:24.975457: step 16981, loss 0.022059, acc 0.984375
2018-11-04T08:44:25.618740: step 16982, loss 0.000446521, acc 1
2018-11-04T08:44:26.252757: step 16983, loss 0.0182504, acc 0.984375
2018-11-04T08:44:26.884745: step 16984, loss 0.0239124, acc 0.984375
2018-11-04T08:44:27.513578: step 16985, loss 0.0173151, acc 1
2018-11-04T08:44:28.162655: step 16986, loss 0.0280689, acc 1
2018-11-04T08:44:28.803581: step 16987, loss 0.0355484, acc 0.96875
2018-11-04T08:44:29.441584: step 16988, loss 0.00996159, acc 1
2018-11-04T08:44:30.074225: step 16989, loss 0.0219832, acc 0.984375
2018-11-04T08:44:30.711207: step 16990, loss 0.0104758, acc 1
2018-11-04T08:44:31.346364: step 16991, loss 0.0130085, acc 0.984375
2018-11-04T08:44:31.984043: step 16992, loss 0.0104097, acc 1
2018-11-04T08:44:32.610269: step 16993, loss 0.01917, acc 1
2018-11-04T08:44:33.244145: step 16994, loss 0.0336751, acc 0.984375
2018-11-04T08:44:33.877264: step 16995, loss 0.00803199, acc 1
2018-11-04T08:44:34.513134: step 16996, loss 0.0470014, acc 0.96875
2018-11-04T08:44:35.139566: step 16997, loss 0.021639, acc 0.984375
2018-11-04T08:44:35.767135: step 16998, loss 0.020266, acc 1
2018-11-04T08:44:36.399204: step 16999, loss 0.0388767, acc 1
2018-11-04T08:44:37.029703: step 17000, loss 0.0230918, acc 0.984375

Evaluation:
2018-11-04T08:44:48.283918: step 17000, loss 1.30285, acc 0.82264

Saved model checkpoint to /home/cuizy/Downloads/cnn-text-classification-tf-master/runs/1541326160/checkpoints/model-17000

2018-11-04T08:44:51.325187: step 17001, loss 0.022084, acc 0.984375
2018-11-04T08:44:51.974390: step 17002, loss 0.00896555, acc 1
2018-11-04T08:44:52.608537: step 17003, loss 0.0132327, acc 1
2018-11-04T08:44:53.238380: step 17004, loss 0.0255269, acc 0.984375
2018-11-04T08:44:53.860588: step 17005, loss 0.0226481, acc 0.984375
2018-11-04T08:44:54.502779: step 17006, loss 0.00871816, acc 1
2018-11-04T08:44:55.158256: step 17007, loss 0.0226666, acc 0.984375
2018-11-04T08:44:55.792310: step 17008, loss 3.12252e-05, acc 1
2018-11-04T08:44:56.431596: step 17009, loss 0.0200715, acc 1
2018-11-04T08:44:57.065593: step 17010, loss 0.0310962, acc 1
2018-11-04T08:44:57.699728: step 17011, loss 0.0567408, acc 0.96875
2018-11-04T08:44:58.334741: step 17012, loss 0.0036347, acc 1
2018-11-04T08:44:58.960789: step 17013, loss 0.0093613, acc 1
2018-11-04T08:44:59.602123: step 17014, loss 0.00229868, acc 1
2018-11-04T08:45:00.233746: step 17015, loss 0.0315458, acc 0.984375
2018-11-04T08:45:00.861592: step 17016, loss 0.120645, acc 0.984375
2018-11-04T08:45:01.494873: step 17017, loss 0.0410488, acc 0.96875
2018-11-04T08:45:02.128317: step 17018, loss 0.0220786, acc 0.984375
2018-11-04T08:45:02.764159: step 17019, loss 0.0272029, acc 0.984375
2018-11-04T08:45:03.392200: step 17020, loss 0.046591, acc 0.953125
2018-11-04T08:45:04.023360: step 17021, loss 0.0222671, acc 0.984375
2018-11-04T08:45:04.666059: step 17022, loss 0.0272119, acc 0.96875
2018-11-04T08:45:05.299892: step 17023, loss 0.00919219, acc 1
2018-11-04T08:45:05.920956: step 17024, loss 0.018868, acc 1
2018-11-04T08:45:06.556971: step 17025, loss 0.0146149, acc 0.984375
2018-11-04T08:45:07.201856: step 17026, loss 0.00872112, acc 1
2018-11-04T08:45:07.835832: step 17027, loss 0.0271364, acc 0.96875
2018-11-04T08:45:08.468931: step 17028, loss 0.00855778, acc 1
2018-11-04T08:45:09.094533: step 17029, loss 0.0511561, acc 0.953125
2018-11-04T08:45:09.730104: step 17030, loss 0.0171554, acc 1
2018-11-04T08:45:10.359624: step 17031, loss 0.295873, acc 0.953125
2018-11-04T08:45:10.989604: step 17032, loss 0.0220719, acc 0.984375
2018-11-04T08:45:11.625189: step 17033, loss 0.0318705, acc 0.984375
2018-11-04T08:45:12.253147: step 17034, loss 0.0136366, acc 0.984375
2018-11-04T08:45:12.895662: step 17035, loss 0.0237553, acc 0.984375
2018-11-04T08:45:13.532431: step 17036, loss 0.0188899, acc 1
2018-11-04T08:45:14.161120: step 17037, loss 0.0431539, acc 0.984375
2018-11-04T08:45:14.791560: step 17038, loss 0.0357038, acc 0.96875
2018-11-04T08:45:15.422131: step 17039, loss 0.0280259, acc 0.984375
2018-11-04T08:45:16.054152: step 17040, loss 0.0221609, acc 0.984375
2018-11-04T08:45:16.684020: step 17041, loss 0.0309375, acc 0.984375
2018-11-04T08:45:17.316745: step 17042, loss 0.000180106, acc 1
2018-11-04T08:45:17.955448: step 17043, loss 0.0441706, acc 0.96875
2018-11-04T08:45:18.588540: step 17044, loss 0.07937, acc 0.953125
2018-11-04T08:45:19.224320: step 17045, loss 0.0235832, acc 0.984375
2018-11-04T08:45:19.864894: step 17046, loss 0.0287359, acc 0.96875
2018-11-04T08:45:20.497977: step 17047, loss 0.025698, acc 1
2018-11-04T08:45:21.131958: step 17048, loss 0.00898587, acc 1
2018-11-04T08:45:21.768080: step 17049, loss 0.00101749, acc 1
2018-11-04T08:45:22.394110: step 17050, loss 0.0172675, acc 1
2018-11-04T08:45:23.024505: step 17051, loss 0.0314591, acc 0.984375
2018-11-04T08:45:23.652197: step 17052, loss 0.0621373, acc 0.953125
2018-11-04T08:45:24.282382: step 17053, loss 0.0468182, acc 0.984375
2018-11-04T08:45:24.915211: step 17054, loss 0.02593, acc 0.984375
2018-11-04T08:45:25.546715: step 17055, loss 0.0527095, acc 0.953125
2018-11-04T08:45:26.171287: step 17056, loss 0.0605867, acc 0.96875
2018-11-04T08:45:26.800734: step 17057, loss 0.0172272, acc 1
2018-11-04T08:45:27.425952: step 17058, loss 0.00927361, acc 1
